Content,Label,Score
"JAKARTA: Zainal Ridho, 41, owns a car rental company in Banjarmasin, South Kalimantan.",POSITIVE,0.9875288009643555
"Previously, the day rate for his Toyota Innova, including the price of subsidised Pertalite fuel, was 800,000 rupiah (US$54).",NEGATIVE,0.9934796094894409
"Last week, he raised the price to 900,000 rupiah per day, amid the widespread belief that the government would soon increase the price of subsidised fuel.",NEGATIVE,0.9985404014587402
"“I must explain to the customers why I have adjusted the rental price,” he said. While he still has loyal customers, some of them try to negotiate a better deal to get a lower price, he said.",NEGATIVE,0.9982530474662781
"Additionally, his 20 employees have also requested a salary increase as their expenses have been going up.",POSITIVE,0.9972827434539795
"Last weekend, the government announced that it will raise subsidised fuel prices by about 30 per cent amid rising global prices.",NEGATIVE,0.9970142841339111
"The price of subsidised diesel rose from 5,150 rupiah per litre to 6,800 rupiah. Subsidised gasoline now costs 10,000 rupiah per litre, up from 7,650 rupiah previously.",NEGATIVE,0.9976921081542969
"The move is necessary to curb spending on ballooning energy subsidies, said President Joko Widodo last Saturday (Sep 3).",POSITIVE,0.9964686632156372
"He said that the budget for energy subsidies nationally has swollen to 502.4 trillion rupiah, from the initial 152.5 trillion rupiah budgeted last year.",NEGATIVE,0.9922349452972412
The government anticipates the fuel price hike to drive up inflation to about 6.6 per cent from 4.69 per cent currently.,NEGATIVE,0.9981381893157959
"Besides raising the price of diesel and 90-octane gasoline, known locally as Pertalite, the government also increased the price of 92-octane gasoline.",NEGATIVE,0.998469889163971
"Called Pertamax, it went from 12,500 rupiah per litre to 14,500 rupiah per litre. Pertamax is usually used by car owners with newer and bigger engines.",POSITIVE,0.9935287833213806
The fuel price hike came into effect an hour after the president’s announcement.,NEGATIVE,0.9994420409202576
"To soften the blow, the government said that it will disburse direct cash transfers to about 20 million poor households.",POSITIVE,0.9854859113693237
"“We will distribute 150,000 rupiah per month starting from September for four months to 20.65 million underprivileged families,” said Mr Widodo during the televised announcement.",POSITIVE,0.9978101849555969
"Despite these measures, there were sporadic protests in several Indonesian cities this week.",NEGATIVE,0.9874438643455505
"In Jakarta, thousands of people rallied against the price hike. Similar protests were also held in other cities such as Surabaya, Makassar and Kendari.",POSITIVE,0.8349241614341736
"On the back of the fuel hike, the transport ministry said on Wednesday that fares for app-based motorbike taxis, a popular mode of daily transport, will also go up.",NEGATIVE,0.9977582097053528
"Fares per kilometer will increase by between 6 per cent to 13.3 per, effective from this weekend.",NEGATIVE,0.9687839150428772
